First Name,Last Name ,Year,Salaries,Rank
Bostjan,Nachbar,2000,NA,555
Juan,Dixon,2000,NA,556
Curtis,Borchardt,2000,NA,557
Ryan,Humphrey,2000,NA,558
Kareem,Rush,2000,NA,559
Mehmet,Okur,2000,NA,560
Qyntel,Woods,2000,NA,561
Casey,Jacobsen,2000,NA,562
Tayshaun,Prince,2000,NA,563
Efthimios,Rentzias,2000,NA,564
Frank,Williams,2000,NA,565
Chris,Jefferies,2000,NA,566
Dan,Dickau,2000,NA,567
John,Salmons,2000,NA,568
Juaquin,Hawkins,2000,NA,569
Raul,Lopez,2000,NA,570
Mengke,Bateer,2000,NA,571
Tremaine,Fowlkes,2000,NA,572
Mike,James,2000,NA,573
JR,Bremer,2000,NA,574
Tamar,Slay,2000,NA,575
Lonny,Baxter,2000,NA,576
Roger,Mason,2000,NA,577
Carlos,Boozer,2000,NA,578
Smush,Parker,2000,NA,579
Junior,Harrington,2000,NA,580
Predrag,Savovic,2000,NA,581
Vincent,Yarbrough,2000,NA,582
Tito,Maddox,2000,NA,583
Jannero,Pargo,2000,NA,584
Chris,Owens,2000,NA,585
Mike,Batiste,2000,NA,586
Robert,Archibald,2000,NA,587
Ken,Johnson,2000,NA,588
Rasual,Butler,2000,NA,589
Sean,Lampley,2000,NA,590
Dan,Gadzuric,2000,NA,591
Jamal,Sampson,2000,NA,592
Ronald,Murray,2000,NA,593
Igor,Rakocevic,2000,NA,594
Reggie,Evans,2000,NA,595
Pat,Burke,2000,NA,596
Sam,Clancy,2000,NA,597
Nate,Huffman,2000,NA,598
Adam,Harrington,2000,NA,599
Anthony,Goldwire,2000,NA,600
Mike,Wilks,2000,NA,601
Guy,Rucker,2000,NA,602
Devin,Brown,2000,NA,603
Paul,Shirley,2000,NA,604
LeBron,James,2000,NA,605
Darko,Milicic,2000,NA,606
Carmelo,Anthony,2000,NA,607
Chris,Bosh,2000,NA,608
Dwyane,Wade,2000,NA,609
Chris,Kaman,2000,NA,610
Kirk,Hinrich,2000,NA,611
TJ,Ford,2000,NA,612
Mike,Sweetney,2000,NA,613
